1000
"011","G","T",6,5,35,12
"011","T","T",6,40,40,12
"011","T","T",7,20,40,12
"011","T","T",8,0,40,12
"011","T","T",8,40,40,12
"011","T","T",9,20,40,12
"011","T","T",10,0,40,12
"011","T","T",10,40,40,12
"011","T","T",11,20,40,12
"011","T","T",12,0,40,12
"011","T","T",12,40,40,12
"011","T","T",13,20,40,12
"011","T","T",14,0,40,12
"011","T","T",14,40,40,12
"011","T","T",15,20,40,12
"011","T","T",16,0,40,12
"011","T","T",16,40,40,12
"011","T","T",17,20,40,12
"011","T","T",18,0,40,12
"011","T","T",18,40,40,12
"011","T","G",19,20,45,12
"531","G","T",6,0,20,310
"531","T","T",6,20,45,310
"201","G","T",6,15,15,73
"201","T","T",6,30,80,73
"201","T","G",7,50,15,73
"235","G","T",17,20,15,98
"235","T","T",17,35,65,98
"235","T","T",18,40,70,98
"235","T","G",19,50,45,98
"201","G","T",5,50,10,242
"201","T","T",6,0,80,242
"323","G","T",5,25,45,115
"323","T","T",6,10,50,115
"323","T","T",7,0,60,115
"323","T","T",8,0,70,115
"323","T","T",9,10,80,115
"323","T","T",10,30,80,115
"323","T","T",11,50,80,115
"323","T","T",13,10,80,115
"323","T","T",14,30,75,115
"323","T","T",15,45,75,115
"323","T","T",17,0,75,115
"323","T","T",18,15,75,115
"323","T","G",19,30,15,115
"177","G","T",4,40,50,59
"177","T","T",5,30,60,59
"177","T","T",6,30,60,59
"177","T","T",7,30,60,59
"177","T","T",8,30,60,59
"177","T","T",9,30,60,59
"177","T","T",10,30,60,59
"177","T","T",11,30,60,59
"177","T","T",12,30,60,59
"177","T","T",13,30,60,59
"177","T","T",14,30,60,59
"177","T","T",15,30,60,59
"177","T","T",16,30,60,59
"177","T","T",17,30,60,59
"177","T","T",18,30,60,59
"177","T","T",19,30,60,59
"177","T","T",20,30,60,59
"177","T","T",21,30,60,59
"177","T","T",22,30,60,59
"177","T","T",23,30,55,59
"177","T","G",24,25,35,59
"415","G","T",6,0,65,134
"415","T","T",7,5,90,134
"415","T","T",8,35,90,134
"415","T","T",10,5,90,134
"415","T","T",11,35,90,134
"415","T","T",13,5,90,134
"415","T","T",14,35,90,134
"415","T","T",16,5,90,134
"415","T","T",17,35,90,134
"415","T","T",19,5,75,134
"415","T","T",20,20,80,134
"415","T","T",21,40,80,134
"415","T","T",23,0,5,134
"415","T","G",23,5,65,134
"460","G","T",5,40,55,153
"460","T","T",6,35,65,153
"460","T","T",7,40,60,153
"460","T","T",8,40,55,153
"460","T","T",9,35,55,153
"460","T","T",10,30,60,153
"460","T","T",11,30,60,153
"460","T","T",12,30,60,153
"460","T","T",13,30,60,153
"460","T","T",14,30,60,153
"460","T","T",15,30,60,153
"460","T","T",16,30,60,153
"460","T","T",17,30,60,153
"460","T","T",18,30,60,153
"460","T","T",19,30,60,153
"460","T","T",20,30,60,153
"460","T","T",21,30,60,153
"460","T","T",22,30,60,153
"460","T","G",23,30,60,153
"131","G","T",5,30,50,30
"131","T","T",6,20,60,30
"131","T","T",7,20,60,30
"131","T","T",8,20,10,30
"131","T","T",8,30,60,30
"131","T","T",9,30,55,30
"131","T","T",10,25,60,30
"131","T","T",11,25,60,30
"131","T","T",12,25,60,30
"131","T","T",13,25,60,30
"131","T","T",14,25,60,30
"131","T","T",15,25,70,30
"131","T","T",16,35,60,30
"131","T","T",17,35,60,30
"131","T","T",18,35,60,30
"131","T","G",19,35,40,30
"528A","G","T",5,20,10,171
"528A","T","T",5,30,90,171
"528A","T","T",7,0,90,171
"528A","T","T",8,30,90,171
"528A","T","T",10,0,90,171
"528A","T","T",11,30,90,171
"528A","T","T",13,0,90,171
"528A","T","T",14,30,90,171
"528A","T","T",16,0,90,171
"528A","T","T",17,30,90,171
"528A","T","T",19,0,90,171
"528A","T","T",20,30,90,171
"528A","T","T",22,0,90,171
"528A","T","T",23,30,100,171
"528A","T","G",25,10,15,171
"040","G","T",6,15,15,26
"040","T","T",6,30,55,26
"040","T","T",7,25,50,26
"040","T","G",8,15,45,26
"528","G","T",5,15,15,302
"528","T","T",5,30,60,302
"528","T","T",6,30,60,302
"528","T","T",7,30,60,302
"528","T","T",8,30,60,302
"528","T","T",9,30,60,302
"528","T","T",10,30,60,302
"528","T","T",11,30,60,302
"528","T","T",12,30,60,302
"528","T","T",13,30,65,302
"528","T","T",14,35,65,302
"528","T","T",15,40,60,302
"528","T","T",16,40,52,302
"528","T","T",17,32,68,302
"528","T","T",18,40,60,302
"528","T","T",19,40,50,302
"528","T","T",20,30,60,302
"528","T","T",21,30,60,302
"528","T","T",22,30,60,302
"528","T","T",23,30,60,302
"022","G","T",17,50,15,22
"022","T","G",18,5,55,22
"243","G","T",5,50,45,106
"243","T","T",6,35,65,106
"243","T","T",7,40,60,106
"243","T","T",8,40,50,106
"243","T","T",9,30,60,106
"243","T","T",10,30,60,106
"243","T","T",11,30,60,106
"243","T","T",12,30,60,106
"243","T","T",13,30,60,106
"243","T","T",14,30,60,106
"243","T","T",15,30,60,106
"243","T","T",16,30,60,106
"243","T","T",17,30,60,106
"243","T","T",18,30,60,106
"243","T","T",19,30,60,106
"243","T","T",20,30,60,106
"243","T","T",21,30,60,106
"243","T","T",22,30,60,106
"243","T","G",23,30,50,106
"UEM","T","T",11,15,45,330
"415","G","T",16,30,30,133
"415","T","T",17,0,90,133
"415","T","G",18,30,80,133
"415","T","T",11,45,55,279
"323","G","T",17,10,15,118
"323","T","T",17,25,70,118
"323","T","G",18,35,50,118
"23","G","T",5,50,45,251
"528","G","T",17,20,55,304
"234","G","T",7,20,50,258
"234","T","G",8,10,15,258
"314","G","T",17,10,40,111
"314","T","T",17,50,40,111
"314","T","T",18,30,40,111
"314","T","T",19,10,40,111
"314","T","G",19,50,40,111
"324","G","T",5,30,55,119
"324","T","T",6,25,70,119
"324","T","T",7,35,100,119
"324","T","T",9,15,70,119
"324","T","T",10,25,70,119
"324","T","T",11,35,70,119
"324","T","T",12,45,70,119
"324","T","T",13,55,70,119
"324","T","T",15,5,70,119
"324","T","T",16,15,70,119
"324","T","T",17,25,70,119
"324","T","T",18,35,75,119
"324","T","T",19,50,80,119
"324","T","T",21,10,70,119
"324","T","T",22,20,70,119
"324","T","G",23,30,60,119
"512","G","T",6,50,45,168
"512","T","G",7,35,55,168
"233","G","T",6,40,60,89
"233","T","G",7,40,10,89
"512","G","T",6,25,40,297
"512","T","G",7,5,35,297
"243","G","T",6,5,35,101
"243","T","T",6,40,50,101
"243","T","T",7,30,45,101
"243","T","T",8,15,60,101
"243","T","T",9,15,60,101
"243","T","T",10,15,60,101
"243","T","T",11,15,60,101
"243","T","T",12,15,60,101
"243","T","T",13,15,60,101
"243","T","T",14,15,60,101
"243","T","T",15,15,60,101
"243","T","T",16,15,60,101
"243","T","T",17,15,60,101
"243","T","G",18,15,45,101
"531","G","T",17,40,60,173
"531","T","G",18,40,15,173
"169","G","T",6,10,50,54
"169","T","T",7,0,65,54
"169","T","G",8,5,15,54
"713","G","T",6,35,55,314
"243","G","T",17,15,15,104
"243","T","T",17,30,50,104
"243","T","T",18,20,60,104
"243","T","T",19,20,60,104
"243","T","T",20,20,30,104
"243","T","T",20,50,60,104
"243","T","T",21,50,60,104
"243","T","G",22,50,45,104
"415","T","G",23,15,55,278
"528","G","T",6,0,23,351
"528","T","G",6,23,43,351
"713","G","T",17,20,25,177
"713","T","T",17,45,50,177
"713","T","G",18,35,55,177
"722","T","T",6,35,40,319
"722","T","T",7,15,40,319
"722","T","G",7,55,15,319
"010","G","T",5,50,15,8
"010","T","T",6,5,60,8
"010","T","T",7,5,55,8
"010","T","T",8,0,55,8
"010","T","T",8,55,50,8
"010","T","T",9,45,55,8
"010","T","T",10,40,60,8
"010","T","T",11,40,60,8
"010","T","T",12,40,60,8
"010","T","T",13,40,50,8
"010","T","T",14,30,50,8
"010","T","T",15,20,50,8
"010","T","T",16,10,60,8
"010","T","T",17,10,60,8
"010","T","T",18,10,60,8
"010","T","T",19,10,55,8
"010","T","T",20,5,55,8
"010","T","T",21,0,50,8
